country,country_code,continent,population,indicator,daily_count,date,rate_14_day
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/2/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/3/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/4/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/5/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/6/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/7/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/8/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/9/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/10/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/11/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/12/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/13/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/14/2020,
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/15/2020,0
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/16/2020,0
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/17/2020,0
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/18/2020,0
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/19/2020,0
Afghanistan,AFG,Asia,38928341,confirmed cases,0,1/20/2020,0
